time_period,time_identifier,geographic_level,country_code,country_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Boys,9634,232564,224514,8050,67129,28133,17341,12869,10816,9530,8598,7801,7314,6858,6467,6137,5509,5087,4627,3983,3456,2997,2353,1714,1292,1058,865,644,739,1197,1405,1171,4864,178,432,4494420,20,97,3,29,12,7,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,1,2,0,0
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Girls,9632,223914,218198,5716,56469,25843,16357,12865,10705,9658,8822,8399,8048,7582,7264,6907,6511,5952,5285,4612,3939,3414,2536,1814,1179,941,769,576,679,1072,1279,576,3306,188,367,4257267,19.5,97,3,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Total,9651,456478,442712,13766,123598,53976,33698,25734,21521,19188,17420,16200,15362,14440,13731,13044,12020,11039,9912,8595,7395,6411,4889,3528,2471,1999,1634,1220,1418,2269,2684,1747,8170,366,799,8751687,19.8,97,3,27,12,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Other Christian faith,State-funded mainstream schools,Boys,82,1470,1427,43,418,186,108,82,69,78,57,54,44,56,40,36,25,24,24,29,15,25,10,11,9,5,6,5,2,9,5,11,25,0,2,28747,20.1,97,3,28,13,7,6,5,5,4,4,3,4,3,2,2,2,2,2,1,2,1,1,1,0,0,0,0,1,0,1,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Other Christian faith,State-funded mainstream schools,Girls,82,1370,1342,28,322,177,105,79,66,68,63,51,41,54,47,46,37,36,34,28,12,21,13,11,6,4,4,1,8,8,5,1,19,1,2,26290,19.6,98,2,24,13,8,6,5,5,5,4,3,4,3,3,3,3,2,2,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Other Christian faith,State-funded mainstream schools,Total,82,2840,2769,71,740,363,213,161,135,146,120,105,85,110,87,82,62,60,58,57,27,46,23,22,15,9,10,6,10,17,10,12,44,1,4,55037,19.9,98,3,26,13,8,6,5,5,4,4,3,4,3,3,2,2,2,2,1,2,1,1,1,0,0,0,0,1,0,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Other religious character,State-funded mainstream schools,Boys,12,274,269,5,120,34,19,16,19,10,9,5,4,4,5,5,8,0,2,2,1,1,1,1,0,2,1,0,0,0,2,0,2,0,1,5929,22,98,2,44,12,7,6,7,4,3,2,1,1,2,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Other religious character,State-funded mainstream schools,Girls,12,292,288,4,99,52,25,17,13,15,4,10,7,7,7,6,6,4,2,1,2,4,2,1,2,2,0,0,0,0,1,0,0,0,3,6167,21.4,99,1,34,18,9,6,4,5,1,3,2,2,2,2,2,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
202122,Academic year,National,E92000001,England,School religious character,Other religious character,State-funded mainstream schools,Total,12,566,557,9,219,86,44,33,32,25,13,15,11,11,12,11,14,4,4,3,3,5,3,2,2,4,1,0,0,0,3,0,2,0,4,12096,21.7,98,2,39,15,8,6,6,4,2,3,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
202122,Academic year,National,E92000001,England,School religious character,Roman Catholic,State-funded mainstream schools,Boys,1614,28659,27870,789,8978,3790,2278,1697,1340,1214,1064,951,828,778,744,602,604,537,479,430,342,303,222,160,101,109,79,60,66,114,160,104,453,15,57,574249,20.6,97,3,31,13,8,6,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Roman Catholic,State-funded mainstream schools,Girls,1612,28501,27934,567,8133,3585,2255,1678,1370,1249,1096,1025,933,849,816,833,715,619,585,522,407,349,264,165,127,93,67,56,60,83,143,44,307,17,56,563568,20.2,98,2,29,13,8,6,5,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Roman Catholic,State-funded mainstream schools,Total,1614,57160,55804,1356,17111,7375,4533,3375,2710,2463,2160,1976,1761,1627,1560,1435,1319,1156,1064,952,749,652,486,325,228,202,146,116,126,197,303,148,760,32,113,1137817,20.4,98,2,30,13,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Sikh,State-funded mainstream schools,Boys,9,266,256,10,89,35,30,17,14,5,11,15,7,4,10,4,2,2,4,2,1,3,0,0,0,0,0,1,0,0,2,3,5,0,0,5540,21.6,96,4,33,13,11,6,5,2,4,6,3,2,4,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Sikh,State-funded mainstream schools,Girls,9,236,231,5,79,45,14,14,14,10,9,8,5,7,6,5,3,1,1,2,4,0,0,1,1,1,0,0,0,1,3,0,0,2,0,4984,21.6,98,2,33,19,6,6,6,4,4,3,2,3,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
202122,Academic year,National,E92000001,England,School religious character,Sikh,State-funded mainstream schools,Total,9,502,487,15,168,80,44,31,28,15,20,23,12,11,16,9,5,3,5,4,5,3,0,1,1,1,0,1,0,1,5,3,5,2,0,10524,21.6,97,3,33,16,9,6,6,3,4,5,2,2,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
